nikkud,transliteration,word
אַקְטִינְיוּם,aktinuim,אקטיניום
אִקְלוּם,iklum,אקלום
אַקְלִים,aklim,אקלים
אַקְלִים טְרוֹפִּי,aklim tropi,אקלים טרופי
אַקְלִים יַמִּי,aklim yami,אקלים ימי
אַקְלִים מְמֻזָּג,aklim memuzag,אקלים ממזג
אַקְלִים סוֹבְטְרוׁפִּי,,אקלים סובטרופי
אֵקָלִיפְּטוּס,ekaliptus,אקליפטוס
אַקְנֶה,akne,אקנה
אֶקְסְהִיבִּיצְיוֹנִיזְם,ekshibitsionizm,אקסהיביציוניזם
אֶקְסוֹבִּיּוֹלוֹגְיָה,eksobiyologya,אקסוביולוגיה
אֶקְסוֹטוֹקְסִין,,אקסוטוקסין
אֶקְסוֹן,ekson,אקסון
אַקְסוֹן,akson,אקסון
אַקְסוֹנוֹמֶטְרְיָה,aksonometrya,אקסונומטריה
אקסונוקלאז,,אקסונוקלאז
אֶקְסוֹסְפֵרָה,eksosferah,אקסוספרה
אֶקְסְטָזָה,ekstaza,אקסטזה
אֵקְסְטְרוֹבֶרְטִי,ekstroverti,אקסטרוברטי
אֶקְסְטֶרִיטוֹרְיָאלִי,,אקסטריטוריאלי
אֶקְסְטְרֵמוֹפִיל,ekstremofil,אקסטרמופיל
אֶקְסְטְרָפּוֹלַצְיָה,,אקסטרפולציה
אַקְסְיוֹמָה,aksyoma,אקסיומה
אֶקְסְפּוֹזִיצְיָה,expozitsya,אקספוזיציה
אֶקְסְפּוֹנֶנְצְיָאלִי (גם: אֶקְסְפּוֹנֶנְצִיאָלִי),"exponentsyali, exponentsi'ali",אקספוננציאלי
אַקְצָרָה,aktsarah,אקצרה
אַקְרָאִי,akrai,אקראי
אַקְרוֹבָּט,akrobat,אקרובט
אַקְרוֹמֵגָלְיָה,akromegalyah,אקרומגליה
אַקְרוֹפוֹבְּיָה,akrofobya,אקרופוביה
אַקְרוֹפּוֹלִיס,akropolis,אקרופוליס
אַקְרִילִיק,,אקריליק
אַר נוּבוֹ,,אר נובו
אֶרְאֵל,erel,אראל
אֲרֻבָּה,aruba,ארבה
אַרְבָּה,arba,ארבה
אַרְבֶּה,arbe,ארבה
אֶרְבְּיוּם,arbium,ארביום
אַרְבַּע,arba,ארבע
אַרְבַּע כּוֹסוֹת,,ארבע כוסות
אַרְבַּע עַל אַרְבַּע,arba al arba,ארבע על ארבע
אַרְבָּעוֹן,arbaon,ארבעון
אַרְבַּעַת הַמִּינִים,arbaat haminim,ארבעת המינים
אֶרְג,erg,ארג
אֶרֶג,ereg,ארג
אֶרְגּוֹמֶטְרְיָה,,ארגומטריה
אַרְגּוֹן,argon,ארגון
אִרְגּוּן,irgun,ארגון
אֶרְגּוֹנוֹמְיָה,,ארגונומיה
אַרְגָּז,argaz,ארגז
אַרְגַּז חוֹל,argaz khol,ארגז חול
אַרְגָּז חֶרֶב,argaz kherev,ארגז חרב
אַרְגָּמָן,argaman,ארגמן
אַרְגְּמֶנֶת,argmenet,ארגמנת
אַרְגֶּנְטוֹמֶטְרִיָּה,argentometriyah,ארגנטומטריה
אַרְגֶּנְטִינָה,,ארגנטינה
אֶרוּדִיצְיָה,,ארודיציה
אֻרְוָה,urva,ארוה
אָרוּז,aruz,ארוז
אֲרוּחָה,arukha,ארוחה
אֲרוּחַת בֹּקֶר,,ארוחת בקר
אֲרוּחַת עֶרֶב,,ארוחת ערב
אֲרוּחַת צָהֳרַיִם,,ארוחת צהרים
אֲרוּחַת קַח וָלֵךְ,arukhat kakh velekh,ארוחת קח ולך
אֶרוֹטִי,eroti,ארוטי
אֶרוֹטִיקָה,,ארוטיקה
אֲרוּכָה,arukha,ארוכה
אָרוֹמָה,aroma,ארומה
אָרוֹמָטִי,aromati,ארומטי
אָרוֹמָתֶרַפְּיָה,aromaterapya,ארומתרפיה
אֲרוֹן (גם: אָרוֹן),aron,ארון
אָרוֹנִיסְט,aronist,ארוניסט
אֵרוֹס,eros,ארוס
אָרוּס,arus,ארוס
אֵרוּסִין,erusin,ארוסין
אֵרוּעַ,,ארוע
אָרוּר,arur,ארור
אֹרֶז,orez,ארז
אֶרֶז,,ארז
אַרְזָה,arza,ארזה
אֹרַח,orakh,ארח
אֹרַח חַיִּים,orakh khayim,ארח חיים
אָרְחוֹ וְרִבְעוֹ,orkho veriv'o,ארחו ורבעו
אָרְחוֹת יַמִּים,orkhot yamim,ארחות ימים
אָרְחֵי פָּרְחֵי,arkhey parkhey,ארחי פרחי
אַרְטִילֶרְיָה,,ארטילריה
אָרְטִיסְט,ar<b>tist</b>,ארטיסט
אַרְטִיק,artik,ארטיק
אַרְטִישׁוֹק,artishok,ארטישוק
אֲרִי,Ari,ארי
אֲרִי יָם,ari yam,ארי ים
אֲרִיאֵל,ariel,אריאל
אֲרִיג מִפְרָשִׂים,arig mifrasim,אריג מפרשים
אַרְיֵה,aryeh,אריה
אֱרִימוֹן,erimon (?),ארימון
אֲרִינָמָל,arinamal,ארינמל
אֲרִיסוּת,arisut,אריסות
אָרִיסְטוֹקְרַטְיָה,,אריסטוקרטיה
אָרִיתְמֶטִיקָה,,אריתמטיקה
אָרֹךְ,arokh,ארך
אֹרֶךְ,orekh,ארך
אֹרֶךְ בֵּין הַנִּצָּבִים,orekh beyn hanitsavim,ארך בין הנצבים
אֹרֶךְ גַּל,orekh gal,ארך גל
אֹרֶךְ כּוֹלֵל,orekh kolel,ארך כולל
אֹרֶךְ כְּלָלִי,orekh klali,ארך כללי
אֹרֶךְ קַו הַמַּיִם,orekh kav hamayim,ארך קו המים
אֹרֶךְ קֶשֶׁר,orekh kesher,ארך קשר
אַרְכֵאוֹזוֹאוֹלוֹגְיָה,arkheozo'ologyah,ארכאוזואולוגיה
אַרְכֵאוֹלוֹג,arkeolog,ארכאולוג
אַרְכֵאוֹלוֹגִי,,ארכאולוגי
אַרְכֵאוֹלוֹגְיָה,arkheologya,ארכאולוגיה
אַרְכֵאוֹן,arkheon,ארכאון
אַרְכָאִי,arkhayi,ארכאי
אַרְכָאִיקוֹן,arkhaikon,ארכאיקון
אַרְכֻּבָּה,arkuba,ארכבה
אַרְכָּה,,ארכה
אַרְכּוֹף,arkof,ארכוף
אַרְכִיב,arkhiv,ארכיב
אַרְכִיבִּישׁוֹף,,ארכיבישוף
אַרְכִיוֹן,arkhiyon,ארכיון
אַרְכִיטֶקְטוּרָה,arkhitektura,ארכיטקטורה
אַרְכִיפֶּלָג,arkhipelag,ארכיפלג
אָרְכִּית,orkit,ארכית
אַרְכֵלוֹן,arkhelon,ארכלון
ארכנואידיטיס,,ארכנואידיטיס
אָרַכְנוֹלוֹגְיָה,arakhnologya,ארכנולוגיה
אָרַכְנוֹפוֹבְּיָה,arakhnofobya,ארכנופוביה
אַרְכָנִי,archani,ארכני
אֲרָם,aram,ארם
אַרְמָגֶדוֹן,armagedon,ארמגדון
אַרְמָדִיל,armadil,ארמדיל
אַרְמוֹן,armon,ארמון
אַרְמוֹן חוֹל,,ארמון חול
אֶרְמֵז,ermez,ארמז
אַרְמִיָּה,armiyah,ארמיה
אֲרָמִית,aramit,ארמית
אֹרֶן,oren,ארן
אַרְנָב,arnav,ארנב
אַרְנָבוֹן,arnavon,ארנבון
אַרְנֶבֶת,arnevet,ארנבת
אַרְנוֹנָה,arnona,ארנונה
אָרְנִיָּה,orniya,ארניה
אַרְנָק,arnak,ארנק
אַרְסֶן,,ארסן
אַרְסֵנוֹפִּירִיט,arsenopirit,ארסנופיריט
אַרְסֵנִיד,arsenid,ארסניד
אַרְסֵנָל,arsenal,ארסנל
אֲרָעִי,arai,ארעי
ארפג'ו,,ארפג'ו
אֶרֶץ,erets,ארץ
אֶרֶץ הַמַּגָּף,erets hamagaf,ארץ המגף
אֶרֶץ זָבַת חָלָב וּדְבַשׁ,eretz zavat khalav udevash,ארץ זבת חלב ודבש
אֶרֶץ יִשְׂרָאֵל,erets yisrael,ארץ ישראל
אֶרֶץ עִיר,erets 'ir,ארץ עיר
אַרְצוֹת הַבְּרִית,artsot habrit,ארצות הברית
אַרְצוֹת הַשְּׁפֵלָה,artsot hashfela,ארצות השפלה
אַרְצִי,artzi,ארצי
אִשׁ,ish,אש
אֵשׁ,esh,אש
אש הפיה,,אש הפיה
אש השועל,,אש השועל
אֵשׁ יְדִידוּתִית,esh yedidutit,אש ידידותית
אֵשׁ יְוָנִית,,אש יונית
אֵשׁ צוֹלֶבֶת,esh tsolevet,אש צולבת
אֶשְׁבּוֹרָן,,אשבורן
אֶשְׁגָּר,eshgar,אשגר
אֶשְׁגָרִית,eshgarit,אשגרית
אֶשֶׁד,eshed,אשד
אַשְׁדּוֹד,ashdod,אשדוד
אִשֶּׁה,ishe,אשה
אִשָּׁה,isha,אשה
,Ashuakh,אשוח
אֲשׁוּר,ashur,אשור
אַשּׁוּר,ashur,אשור
אִשּׁוּר,ishur,אשור
אָשׁוּר,ashur,אשור
אֲשִׁישָה,ashisha,אשישה
"אֶשֶׁךְ, אָשָׁךְ","eshekh, ashakh",אשך
אַשְׁכָּבָה (גם: הַשְׁכָּבָה),ashkava,אשכבה
אֶשְׁכּוֹל,eshkol,אשכול
אֶשְׁכּוֹלִית,eshkolit,אשכולית
אַשְׁכְּנַזִּי,ashkenazi,אשכנזי
אֶשְׁכָּר,eshkar,אשכר
אַשְׁכָּרָה,ashkara,אשכרה
אֵשֶׁל,eshel,אשל
אַשְׁלָג,ashlag,אשלג
אַשְׁלְגָן,ashlagan,אשלגן
אַשְׁלְגָן הִידְרוֹקְסִיד,,אשלגן הידרוקסיד
אַשְׁלְגָן  חַנְקָתִי,ashlagan khankati,אשלגן חנקתי
אַשְׁלְגָן פֶּרְמַנְגָּנָט,,אשלגן פרמנגנט
אַשְׁלָיָה,ashlaya,אשליה
אַשְׁלָיָה אוֹפְּטִית,ashlaya optit,אשליה אופטית
אָשֵׁם,a'shem,אשם
אַשְׁמַאי,ashmay,אשמאי
אַשְׁמְדַאי,ashmeday,אשמדאי
אַשְׁמָה,ashma,אשמה
אַשְׁמוּרָה,ashmura,אשמורה
אַשְׁמֹרֶת,ashmoret,אשמרת
אֶשְׁנַב תּוֹתָח,eshnav totakh,אשנב תותח
אַשְׁפָּה {{משני|ב}},ashpa,אשפה
אַשְׁפָּה {{משני|א}},ashpa,אשפה
אִשְׁפּוּז,ishpuz,אשפוז
אֻשְׁפִּיז,ushpiz,אשפיז
אֶשְׁפָּר,eshpar,אשפר
אִשְׁקוּקָה,ishkuka,אשקוקה
אִשְקוּקָן,ishkuken,אשקוקן
אֶשְׁקָף,eshkaf,אשקף
אָשֵׁר,Asher,אשר
אֲשֶׁר,asher,אשר
אֹשֶׁר,osher,אשר
אַשְׁרַאי,ashray,אשראי
אַשְׁרָה,ashra,אשרה
אֲשֵׁרָה,ashera,אשרה
אַשְׁרֵי,ashrey,אשרי
אַשְׁרֵי הַמַּאֲמִין,ashrey hama'amin,אשרי המאמין
אֵשֶׁת אִישׁ,eshet ish,אשת איש
אֶשְׁתַנּוּר,eshtanur,אשתנור
אֶשְׁתָּקַד,eshtakad,אשתקד
אֶת {{משני|א}},et,את
אַתְּ,at,את
אֵת,et,את
אֶת {{משני|ב}},et,את
אֶת וָהֵב בְּסוּפָה,et vehav besufa,את והב בסופה
אָתֵאִיזְם,ateizem,אתאיזם
אָתֵאִיסְט,ateist,אתאיסט
אֶתְגָּר,etgar,אתגר
אַתָּה,ata,אתה
אֵתוֹלוֹגְיָה,etologya,אתולוגיה
אָתוֹן,aton,אתון
אֵתוֹס,etos,אתוס
אִתְחוּל,itkhol,אתחול
אֶתִי,eti,אתי
אִתַּי,itay,אתי
אֶתִּי,eti,אתי
אַתְלֵט,atlet,אתלט
אַתְלֶטִיקָה,atletika,אתלטיקה
אַתֶּם,,אתם
אֶתְמוֹל,etmol,אתמול
"אַתֶּן, אַתֵּן",,אתן
אִתָּן,,אתן
אֵתְנוֹאֵקוֹלוֹגְיָה,etnoekologyah,אתנואקולוגיה
אֵתְנוֹבּוֹטָנִיקָה,etnobotanikah,אתנובוטניקה
אֵתְנוֹבִּיוֹלוֹג,etnobiyolog,אתנוביולוג
אֵתְנוֹבִּיוֹלוֹגְיָה,etnobiyologyah,אתנוביולוגיה
אֶתְנוֹגְרַפְיָה,etnografya,אתנוגרפיה
אֵתְנוֹזוֹאוֹלוֹגְיָה,etnozo'ologyah,אתנוזואולוגיה
אֶתָנוֹל,,אתנול
אֶתְנוֹלוֹגְיָה,etnologya,אתנולוגיה
אֵתְנוֹלֶקְט,etnolekt,אתנולקט
אֶתְנוֹמוּזִיקוֹלוֹגְיָה,etnomuzikologya,אתנומוזיקולוגיה
אֵתְנוֹפּוֹאֵטִיקָה,etnopoetikah,אתנופואטיקה
אֶתְנוֹצֶנְטְרִי,etnotsenteri,אתנוצנטרי
אֶתְנַחְתָּא,etnakhta,אתנחתא
אֶתְנַחְתָּה,etnakhta,אתנחתה
אֶתְנַרְךְ,etnarkh,אתנרך
אֲתָר,atar,אתר
אֲתָר אִינְטֶרְנֶט,atar internet,אתר אינטרנט
אֶתְרוֹג,etrog,אתרוג
אִתְּרַע מַזָּלוֹ,itra mazalo,אתרע מזלו
ב הַשִּמוּש,,ב
בָּא {{משני|ב}},ba,בא
בָּא בַּיָּמִים,ba bayamim,בא בימים
בָּא בְּמִשְׁפָּט עִמּוֹ,ba bemishpat imo,בא במשפט עמו
בָּא כְּשֶׁמֶן בְּעַצְמוֹתָיו,ba kashemen beatsmotav,בא כשמן בעצמותיו
בְּאִבּוֹ,beibo,באבו
בָּאוּ בָּנִים עַד מַשְׁבֵּר,bau banim ad mashber,באו בנים עד משבר
בָּאוֹבַּבּ,baubab,באובב
בָּאוּלִינְגּ,bawling,באולינג
בֵּאוּס (גם בִּאוּס),"beus, bius",באוס
בֵּאוּר,be'ur,באור
באזוורד,,באזוורד
בְּאֵין צִפּור שִיר גַּם עורֵב יָשִיר,,באין ציפור שיר גם עורב ישיר
בַּאַס,ba'as,באס
בַּאְסָה,basa,באסה
בְּאֵר,be'er,באר
בְּאֵר שֶׁבַע,beer sheva',באר שבע
באריוגנזה,,באריוגנזה
באריון,,באריון
בְּ‏אַ‏תָ‏רוֹ‏,baataro,באתרו
בָּבָה,bava,בבה
בֻּבָּה,buba,בבה
בֻּבָּה מֶכָנִית,buba mekhanit,בבה מכנית
בָּבוּאָה,bavu'a,בבואה
בַּבּוֹנָג,babunag,בבונג
בֻּבָּן,buban,בבן
בֻּבָּנַאי,bubanay,בבנאי
בְּבַקָּשָׁה,bevakasha,בבקשה
בְּבַת אַחַת,bevat akhat,בבת אחת
בֻּבַּת ווּדוּ,bubat voodoo,בבת וודו
בָּבַת עַיִן,bavat ׳ayin,בבת עין
בֶּגֶד {{משני|א}},beged,בגד
בֶּגֶד {{משני|ב}},beged,בגד
בֶּגֶד יָם,beged yam,בגד ים
בֶּגֶד תַּחְתּוֹן,beged takhton,בגד תחתון
בְּגָדוֹל,begadol,בגדול
בִּגְדֵי כְּהֻנָּה,,בגדי כהנה
בִּגּוּד,bigud,בגוד
בָּגָז',bagaj,בגז'
בָּגֶט,baget,בגט
בְּגִידָה,bgida,בגידה
בְּגִלּוּי רֹאשׁ,begilui rosh,בגלוי ראש
בְּגַפּוֹ,{{נגן|קובץ=He-בְּגַפּוֹ.ogg|כתובית=begapo}},בגפו
בַּגְרוּת,bagrut,בגרות
בַּד {{משני|ד}},bad,בד
בַּד {{משני|א}},bad,בד
בַּד {{משני|ג}},bad,בד
בַּד {{משני|ב}},bad,בד
בַּד בְּבַד,bad bevad,בד בבד
בַּד מִפְרָשִׂים,bad mifrasim,בד מפרשים
בַּד שָׁמִיר,,בד שמיר
בַּדַּאי,baday,בדאי
בָּדָד,badad,בדד
בִּדּוּד חַשְׁמַלִּי,bidud khashmali,בדוד חשמלי
בִּדּוּר,bedoor,בדור
בִּדּוּר חִנּוּכִי,bidur khinukhi,בדור חנוכי
בְּדוּתָה,bduta,בדותה
בִּדְחִילוּ וּרְחִימוּ,bidkhilu urekhimu,בדחילו ורחימו
בְּדֵי עָמֵל,,בדי עמל
בְּדִיד,bdid,בדיד
בְּדִידוּת,bdidut,בדידות
בִּדְיוֹן,bidyon,בדיון
בְּדִיחָה,bdikha,בדיחה
בְּדִיחָה פְּנִימִית,bdikha pnimit,בדיחה פנימית
בְּדִיחָה פְּרָטִית,bdikha pratit,בדיחה פרטית
בדיחת קרש,bdihat keresh,בדיחת קרש
בְּדִיל,bdil,בדיל
בְּדִימוֹס,bedimos,בדימוס
בְּדִיעֲבַד,bedi'avad,בדיעבד
בְּדִיקַת דָּם,,בדיקת דם
בְּדִיקָתִיּוּת,bdikatiyut,בדיקתיות
בְּדָל,bdal,בדל
בְּדֹלַח,bdolakh,בדלח
בַּדְלָנוּת,badlanut,בדלנות
בִּדְמִי יָמָיו,bidmi yamav,בדמי ימיו
בֶּדֶק,Bedek,בדק
בה דום טס,ba dum tas,בה דום טס
בֹּהוּ,bohu,בהו
בָּהִיר,bahir,בהיר
בְּהֵמָה,behema,בהמה
בְּהֵמוֹת,behemot,בהמות
בֹּהֶן,,בהן
בוארון אוסילו,,בוארון אוסילו
בובסלי,,בובסלי
בּוּגֶנְוִילְיָה,bugenvilya,בוגנויליה
בּוֹגֵר אוּנִיבֶרְסִיטָה,,בוגר אוניברסיטה
בּוּד,bud,בוד
בּוֹדֵד,bodeed,בודד
בּוּדְהִיזְם,,בודהיזם
בּוּדְקֶה,budke,בודקה
בּוֹהֵמָה,,בוהמה
בּוֹזֹֹוֹן,bozon,בוזון
בּוֹט,bot,בוט
בּוּט,but,בוט
בוטוליזם,,בוטוליזם
בוטולינום טוקסין,,בוטולינום טוקסין
בּוּטָנוֹל,butanol,בוטנול
בּוֹטָנִיקָה,botanika,בוטניקה
בּוּיָאבֶּס,buyabes,בויאבס
"בּוֹיְדֶּעם, בּוׂיְדֶּם",boydem,בוידעם
בּוֹיָה,boya,בויה
,,בוינה
בּוּכְהַלְטֶרְיָה,bokhaltria,בוכהלטריה
בּוּכְטָה,bukhta,בוכטה
בּוּכְיָר,Buchyar,בוכיר
בּוּל {{משני|ג}},bul,בול
בּוּל {{משני|א}},bul,בול
בּוּל {{משני|ב}},bul,בול
בּוּל עֵץ,bul 'ets,בול עץ
בּוּל תָּמִים,bul tamim,בול תמים
בּוּלְגַּרְיָה,,בולגריה
בּוֹלֵט,bolet,בולט
בּוֹלִיבְיָה,,בוליביה
בוליד,,בוליד
בּוֹלֵעַ אֵשׁ,bole'a esh,בולע אש
בּוֹלְעָן,{{נגן|קובץ=He-בּוֹלְעָן.ogg|כתובית=bol׳an}},בולען
בוֹלשֵבִיק,bolshevik,בולשביק
בּוּלְשִׁיט,bulshit,בולשיט
בּוֹנֶה,bone,בונה
בּוֹנֶה אֳנִיוֹת,bone oniyot,בונה אניות
בּוֹנְנוּת,bonenut,בוננות
בּוֹנְסַאי,bonsay,בונסאי
בּוּנְקֶר,bunker,בונקר
בּוֹס,bos,בוס
בּוֹסְנִיָּה וְהֶרְצֶגוֹבִינָה,,בוסניה והרצגובינה
בּוּעָה,bua,בועה
בּוּעַת סַבּוֹן,buat sabon,בועת סבון
בופר,,בופר
בופר פוספט,,בופר פוספט
בּוּץ,buts,בוץ
בּוּצִית,butsit,בוצית
בּוֹק,,בוק
בּוּקָנִיר,bukanir,בוקניר
בּוּקְסָה,buksa,בוקסה
בּוֹקַעַת קֶרַח,boka'at kerakh,בוקעת קרח
בּוֹקֵר,boker,בוקר
בּוֹר {{משני|א}},bor,בור
בּוּר,bur,בור
בּוֹר {{משני|ב}},bor,בור
בּוֹר סְפִינָה,bor sfinah,בור ספינה
בּוֹרְבּוֹן,,בורבון
בּוּרְגָּנוּת,burganut,בורגנות
בּוֹרְדֶל,bordel,בורדל
בּוֹרוֹן ניטריד,,בורון ניטריד
בּוּרוּת,burut,בורות
בּוּרוּת פְּלוּרָלִיסְטִית,,בורות פלורליסטית
בּוּרוּת קִבּוּצִית,,בורות קבוצית
בּוֹרְחָנוּת,borkhanut,בורחנות
בּוּרְסָה,bursa,בורסה
בּוּרְסִי,bursi,בורסי
בּוּרְסְקִי,burski,בורסקי
בּוּרְקָה,burka,בורקה
בּוּרֶקָס,borekas,בורקס
בּוֹרַקְס,boraks,בורקס
בּוּשָׁה,busha,בושה
בַּז {{משני|א}},baz,בז
בַּז מָצוּי,baz matsui,בז מצוי
בָּזוּקָה,bazuka,בזוקה
בִּזּוּר,bizur,בזור
בִּזָּיוֹן,bizayon,בזיון
בָּזִיךְ,bazikh,בזיך
בָּזִילִיקוּם,bazylykum,בזיליקום
בַּזְיָרוּת,bazyarut,בזירות
בַּזֶּלֶת,,בזלת
בִּזְעִיר אַנְפִּין,biz׳ir anpin,בזעיר אנפין
בָּזָק,bazak,בזק
בֶּזֶק,bezek,בזק
בָּחוּר,bakhur,בחור
בְּחִילָה,bkhila,בחילה
בְּחִינַת בַּגְרוּת,bkhinat bagrut,בחינת בגרות
בָּחִיר,bakhir,בחיר
בְּחִירָה,bkhira,בחירה
בְּחִירוֹת,bkhirot,בחירות
בּׂחַן,bokhan,בחן
בַּחַן,bakhan,בחן
בְּחֵפֶץ לֵב,bekhefetz lev,בחפץ לב
בִּטּוּחַ,bituakh,בטוח
בִּטּוּחַ בְּרִיאוּת,bituakh briut,בטוח בריאות
בִּטּוּי מְשֻׂכָּל,bitui mesukal,בטוי משכל
בִּטּוּן,bitun,בטון
בֶּטוֹן,beton,בטון
בִּטָּחוֹן,bitakhon,בטחון
בִּטָּחוֹן לְאֻמִּי,bitakhon leumi,בטחון לאמי
בִּטָּחוֹן עַצְמִי,bitakhon atsmi,בטחון עצמי
בִּטָּחוֹן שׁוֹטֵף,bitakhon shotef,בטחון שוטף
בָּטָטָה,batata,בטטה
בטיסט,,בטיסט
בָּטֵל בְּשִׁשִּׁים,batel beshishim,בטל בששים
בָּטֶלְדְרֶס,bateldres,בטלדרס
בֹּטֶן,boten,בטן
בֶּטֶן,beten,בטן
בֶּטֶן הָאֳנִיָּה,beten ha'oniya,בטן האניה
בַּי,bay,בי
בִּיאָה,bia,ביאה
ביאתלון,,ביאתלון
ביאתלט,,ביאתלט
בִּיב,biv,ביב
בִּיבְּלִיוֹגְרַפְיָה,bibliyografya,ביבליוגרפיה
בִּיבְּלִיּוֹמַנְיָה,bibliyomanyah,ביבליומניה
ביבליופאגיה,,ביבליופאגיה
בִּיבְּלִיּוֹפִיל,bibliyofil,ביבליופיל
בִּיבְּלִיּוֹפִילְיָה,bibliyofilyah,ביבליופיליה
ביבליוקלפטומניה,,ביבליוקלפטומניה
ביבליותאפיה,,ביבליותאפיה
בֵּיבָר,beivar,ביבר
ביג'נדר,bigender,ביג'נדר
בֵּיְגָּלֶה,beigale,ביגלה
בִּידֶה,bida,בידה
בִּידוּד תֶּרְמִי,bidud termi,בידוד תרמי
בִּיהֶבְיוֹרִיזְם,,ביהביוריזם
בִּיוֹ דִּיזֶל,,ביו דיזל
בִּיוֹאִינְפוֹרְמָטִיקָה,,ביואינפורמטיקה
בִיוׁאָתִיקָה,,ביואתיקה
בִּיוֹגֵּאוֹגְרַפְיָה,,ביוגאוגרפיה
ביוגל,,ביוגל
בִּיוֹגֶנֶזָה,biyogeneza,ביוגנזה
בִּיוֹגְרָפְיָה,biyoggrafya,ביוגרפיה
בִּיּוֹטִיפּ,biotip,ביוטיפ
בִּיוֹטֶכְנוֹלוֹגְיָה,biotekhnologya,ביוטכנולוגיה
בִּיוֹכִימִי,biokimi,ביוכימי
בִּיוֹכִימְיָה,biochemistry,ביוכימיה
בִּיוֹכִימְיָה אַלְטֶרְנָטִיבִית,biokhimya alternativit,ביוכימיה אלטרנטיבית
בִּיוֹלוֹג,biyolog,ביולוג
בִּיּוֹלוֹגְיָה,biyologya,ביולוגיה
בִּיוֹלוֹגְיָה מִבְנִית,biologya mivnit,ביולוגיה מבנית
בִּיוֹלוֹגְיָה מוֹלֶקוּלָרִית,biologya molekularit,ביולוגיה מולקולרית
בִּיוֹלוֹגְיָה סִינְתֶּטִית,,ביולוגיה סינתטית
בִּיּוֹם,biyom,ביום
בִּיּוּם,biyum,ביום
בִּיוֹמָה,,ביומה
בִּיוֹמִימֶטִיקָה,,ביומימטיקה
בִּיוֹמִימִיקְרִי,biomimikari,ביומימיקרי
בִּיוֹמִינֶרָל,miomineral,ביומינרל
בִּיוֹמִינֶרָליזַצְיָה,biomineralizatsya,ביומינרליזציה
בִּיוֹמֶכָנִיקָה,biomekhanika,ביומכניקה
בִּיּוֹמָסָה,,ביומסה
בִּיוֹנִיקָה,bionika,ביוניקה
בִּיוֹנָנוֹטֶכְנוֹלוֹגְיָה,bionanotekhnologya,ביוננוטכנולוגיה
בִּיוֹפּוֹלִימֶר,biopolymer,ביופולימר
בִּיוֹפִידְבֶּק,biofidback,ביופידבק
בִּיּוֹפִיזִיקָה,biofizika,ביופיזיקה
ביופסיכולוגיה,,ביופסיכולוגיה
בִּיּוּץ,biuts,ביוץ
בְּיוּרוֹקְרַטְיָה,,ביורוקרטיה
בְּיוּרֶטָּה,,ביורטה
בִּיוֹרִיתְמוּס,,ביוריתמוס
בִּיּוּת,biyut,ביות
בִּיז'וֹ,bijo,ביז'ו
בִּיזָרִי,bizari,ביזרי
בִּיט,bit,ביט
בִּיטוּמֶן,,ביטומן
בִּיטְקוֹיְן,,ביטקוין
בִּילְהַרְצְיָה,bilhartsya,בילהרציה
בִּילְיַארְד,bilyard,ביליארד
בִּילִירוּבִּין,bilirubin,בילירובין
בִּימָה,bima,בימה
בֵּין,ben,בין
בֵּין אַרְבָּעָה קִירוֹת,beyn arbaa kirot,בין ארבעה קירות
בֵּין הָרוֹעֶה וּבֵין הַזְּאֵב נִבְקַע הַשֶּׂה,,בין הרועה ובין הזאב נבקע השה
בֵּין הַשִּיטִּין,,בין השיטין
בֵּין הַשְּׁמָשׁוֹת,bein hashmashot,בין השמשות
בֵּין כֶּסֶה לְעָשׂוֹר,,בין כסה לעשור
בֵּין הָעַרְבַּיִם,beyn ׳arbayim,בין ערבים
בִּינְגּוֹ,,בינגו
בִּינָה מְלָאכוּתִית,bina melachutit,בינה מלאכותית
בֵּינוֹנִי,benoni,בינוני
בינלאומאות,,בינלאומאות
בִּינָרִי,binari,בינרי
בֵּינַת סִפּוּנִים,beynat sipunim,בינת ספונים
בִּיס {{משני|ב}},bis,ביס
בִּיס {{משני|א}},bis,ביס
בֵּיְסְבּוֹל,beysbol,ביסבול
בִּיסְמוּת,bismuth,ביסמות
בִּיסְקְוִיט,,ביסקויט
בִּיסֶקְסוּאָלִיּוּת,biseksualiyut,ביסקסואליות
בִּיפוֹבְּיָה,bifobya,ביפוביה
בֵּיצָה,betsa,ביצה
בֵּיצִית,"beyitsit,betsit",ביצית
בִּיקִינִי,,ביקיני
בִּיקַרְבּוֹנָט,bikarbonat,ביקרבונט
בִּירָה {{משני|ב}},bira,בירה
בִּירָה {{משני|א}},bira,בירה
בִּירִִית,birit,בירית
בִּירֶמָה,biremah,בירמה
בִּירַת קַיִץ,,בירת קיץ
בִּיש,bish,ביש
בִּישׁ גַּדָּא,bishgada,ביש גדא
בִּישׁוֹף,bishof,בישוף
בִּישׁוֹפוּת,bishofut,בישופות
בַּיְשָׁן,bayshan,בישן
בִּישְׁקוֹט,,בישקוט
בַּיִת {{משני|א}},bayit,בית
בַּיִת {{משני|ב}},bayit,בית
בֵּית אָב,bet av,בית אב
בֵּית אָבוֹת,bet avot,בית אבות
בֵּית אַחְרָה,beit akhrah,בית אחרה
בֵּית אַרְבַּעַת הַמֶרְחָבִים,beyt arba'at hamerkhvim,בית ארבעת המרחבים
בֵּית בֹּשֶׁת,bet boshet,בית בשת
בֵּית גִּדּוּל,,בית גדול
